Component,File,Function / Class.Method,Purpose
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,setup(),Boots all hardware — displays / RTC clock / SD card / BLE / Wi-Fi — and loads neural network weights from flash
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,loop(),Main tick. Reads buttons / samples EEG / runs inference / sends telemetry / checks alarms / refreshes screens
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,updateFFT(),Samples the analog EEG pin at 256 Hz / detects motion artifacts / runs a 512-point FFT / triggers neural network inference when the buffer is full
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,applyHannWindow(),Multiplies time-domain samples by the Hann window function to reduce spectral leakage before FFT
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,computeFFT(),In-place Radix-2 Cooley-Tukey Fast Fourier Transform on real and imaginary sample buffers
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,findDominantFrequency(),Scans FFT output bins within a frequency range to determine the peak dominant frequency
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,applyBandpassFilter(),Filters raw analog EEG samples using a second-order digital IIR bandpass filter (0.5 Hz to 45 Hz)
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,applyTemporalMajorityFilter(),30-second sliding-window majority voting across recent sleep classifications to eliminate transient fluctuations
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,runNeuralNetworkInference(),Extracts 16 features from FFT output and runs the forward pass through the MLP to classify the epoch as Wake / Light / Deep / REM
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,relu(),Applies the ReLU activation function in-place on an array of floats
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,softmax(),Applies numerically stable softmax activation in-place across an output probability array
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,matmulRAM(),Performs fully connected dense layer matrix multiplication with weights and biases from RAM
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,loadNNWeights(),Loads trained neural network weights from NVS storage or falls back to factory default PROGMEM weights
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,saveNNWeights(),Saves updated neural network weights from RAM into NVS flash and increments the trained session counter
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,trainNNOnDevice(),Runs a single backpropagation pass with L2 regularization to adjust MLP weights in RAM using recorded feature history
ESP32-S3 Firmware,esp32s3_rhythmSleep_arduinoide.ino,runOnDeviceLearningPass(),Iterates through feature history ring buffers to execute multi-pass on-device backpropagation training and saves weights to NVS
